DateTime,FASE A,FASE B,FASE C,TOTAL,Consumo
15/02/2025 00:00:00,"1952,40","1596,83","684,77","4234,00","705,67"
15/02/2025 00:10:00,"2087,60","1657,89","801,38","4546,88","757,81"
15/02/2025 00:20:00,"2079,93","1718,91","908,09","4706,93","784,49"
15/02/2025 00:30:00,"2052,11","1680,10","968,30","4700,52","783,42"
15/02/2025 00:40:00,"1817,54","1688,94","858,99","4365,47","727,58"
15/02/2025 00:50:00,"1820,58","1698,41","897,91","4416,90","736,15"
15/02/2025 01:00:00,"2092,21","1785,59","1088,49","4966,29","827,71"
15/02/2025 01:10:00,"1972,39","1620,58","707,74","4300,71","716,78"
15/02/2025 01:20:00,"1972,23","1586,56","560,19","4118,99","686,50"
15/02/2025 01:30:00,"1954,78","1717,13","916,39","4588,30","764,72"
15/02/2025 01:40:00,"2130,36","1739,65","944,89","4814,89","802,48"
15/02/2025 01:50:00,"1993,35","1619,71","812,96","4426,02","737,67"
15/02/2025 02:00:00,"1790,85","1758,12","1022,65","4571,62","761,94"
15/02/2025 02:10:00,"1959,64","1701,32","942,64","4603,60","767,27"
15/02/2025 02:20:00,"2046,37","1759,20","1040,31","4845,88","807,65"
15/02/2025 02:30:00,"2086,50","1861,93","1388,79","5337,22","889,54"
15/02/2025 02:40:00,"2013,82","1866,57","1267,32","5147,71","857,95"
15/02/2025 02:50:00,"2002,18","1866,94","1300,53","5169,65","861,61"
15/02/2025 03:00:00,"1992,52","1697,04","922,01","4611,58","768,60"
15/02/2025 03:10:00,"1901,69","1665,99","824,79","4392,47","732,08"
15/02/2025 03:20:00,"1911,95","1726,46","976,91","4615,32","769,22"
15/02/2025 03:30:00,"2013,66","1575,67","649,28","4238,60","706,43"
15/02/2025 03:40:00,"2076,37","1646,85","755,14","4478,35","746,39"
15/02/2025 03:50:00,"2031,31","1816,60","955,66","4803,56","800,59"
15/02/2025 04:00:00,"1787,36","1722,70","1009,13","4519,20","753,20"
15/02/2025 04:10:00,"1982,60","1703,93","904,14","4590,68","765,11"
15/02/2025 04:20:00,"1972,50","1624,50","819,82","4416,82","736,14"
15/02/2025 04:30:00,"1937,06","1688,53","907,13","4532,73","755,45"
15/02/2025 04:40:00,"1985,88","1749,29","1066,87","4802,04","800,34"
15/02/2025 04:50:00,"2108,70","1592,33","631,18","4332,21","722,04"
15/02/2025 05:00:00,"2035,06","1569,39","669,62","4274,07","712,35"
15/02/2025 05:10:01,"1801,92","1521,38","578,68","3901,98","650,33"
15/02/2025 05:20:00,"1902,51","1747,51","1013,91","4663,94","777,32"
15/02/2025 05:30:00,"1876,68","1665,05","824,77","4366,50","727,75"
15/02/2025 05:40:00,"2148,89","1660,71","766,65","4576,25","762,71"
15/02/2025 05:50:00,"1982,68","1617,37","703,14","4303,19","717,20"
15/02/2025 06:00:00,"1936,33","1641,55","853,18","4431,06","738,51"
15/02/2025 06:10:00,"2027,20","1633,88","812,79","4473,87","745,65"
15/02/2025 06:20:00,"2013,41","1594,76","750,58","4358,75","726,46"
15/02/2025 06:30:00,"1962,96","1662,06","822,80","4447,82","741,30"
15/02/2025 06:40:00,"1891,85","1828,82","1158,83","4879,49","813,25"
15/02/2025 06:50:00,"2080,78","1682,56","875,61","4638,96","773,16"
15/02/2025 07:00:00,"2126,21","1551,94","666,89","4345,04","724,17"
15/02/2025 07:10:00,"1891,49","1738,85","993,98","4624,33","770,72"
15/02/2025 07:20:00,"2333,42","4619,75","3634,20","10587,37","1764,56"
15/02/2025 07:30:00,"2325,98","5623,12","4729,28","12678,39","2113,06"
15/02/2025 07:40:00,"2361,73","5591,76","4590,29","12543,79","2090,63"
15/02/2025 07:50:00,"2337,92","5651,25","4707,15","12696,31","2116,05"
15/02/2025 08:00:00,"2311,57","5762,51","4977,79","13051,86","2175,31"
15/02/2025 08:10:00,"2454,87","5614,79","4789,96","12859,62","2143,27"
15/02/2025 08:20:00,"2240,45","4716,67","4034,67","10991,80","1831,97"
15/02/2025 08:30:00,"2284,92","4807,07","4116,63","11208,62","1868,10"
15/02/2025 08:40:00,"2269,79","3428,35","2082,85","7780,99","1296,83"
15/02/2025 08:50:00,"2402,07","4566,09","3643,59","10611,75","1768,63"
15/02/2025 09:00:00,"2454,72","4360,51","3380,54","10195,77","1699,30"
15/02/2025 09:10:00,"2324,71","2553,25","1470,14","6348,11","1058,02"
15/02/2025 09:20:00,"1745,62","2214,59","1313,29","5273,50","878,92"
15/02/2025 09:30:00,"1606,21","2229,33","1256,06","5091,60","848,60"
15/02/2025 09:40:00,"1521,77","2263,28","1327,77","5112,82","852,14"
15/02/2025 09:50:00,"1447,32","2302,09","1437,19","5186,59","864,43"
15/02/2025 10:00:00,"1578,80","2248,46","1250,42","5077,68","846,28"
15/02/2025 10:10:00,"1621,42","2489,15","1443,77","5554,34","925,72"
15/02/2025 10:20:00,"1634,28","2921,16","2259,96","6815,40","1135,90"
15/02/2025 10:30:00,"2222,40","4274,74","3300,60","9797,74","1632,96"
15/02/2025 10:40:00,"2180,61","3411,39","1723,81","7315,82","1219,30"
15/02/2025 10:50:00,"2252,54","3470,79","1873,74","7597,07","1266,18"
15/02/2025 11:00:00,"2252,20","3577,69","2069,10","7898,99","1316,50"
15/02/2025 11:10:00,"2318,70","3629,95","2241,18","8189,82","1364,97"
15/02/2025 11:20:00,"2365,58","3495,75","1969,54","7830,87","1305,14"
15/02/2025 11:30:00,"2437,56","3490,03","1966,04","7893,62","1315,60"
15/02/2025 11:40:00,"2242,53","3428,91","1848,62","7520,06","1253,34"
15/02/2025 11:50:00,"2166,60","3583,65","2151,48","7901,73","1316,95"
15/02/2025 12:00:00,"2305,50","3866,79","2548,94","8721,23","1453,54"
15/02/2025 12:10:00,"2275,46","3638,15","2195,70","8109,31","1351,55"
15/02/2025 12:20:00,"2325,24","3511,77","2001,70","7838,71","1306,45"
15/02/2025 12:30:00,"2337,54","3734,59","2263,42","8335,55","1389,26"
15/02/2025 12:40:00,"2406,11","3800,50","2406,57","8613,19","1435,53"
15/02/2025 12:50:00,"2400,15","3526,82","1896,95","7823,91","1303,99"
15/02/2025 13:00:00,"2290,29","3801,92","2478,69","8570,90","1428,48"
15/02/2025 13:10:00,"2242,69","3703,03","2234,22","8179,94","1363,32"
15/02/2025 13:20:00,"2425,56","3618,60","2161,65","8205,82","1367,64"
15/02/2025 13:30:00,"2494,51","3616,38","2218,59","8329,48","1388,25"
15/02/2025 13:40:00,"2329,41","3757,57","2556,95","8643,93","1440,66"
15/02/2025 13:50:00,"2293,25","3613,97","2243,55","8150,77","1358,46"
15/02/2025 14:00:00,"1653,72","3061,67","2474,11","7189,50","1198,25"
15/02/2025 14:10:00,"1685,03","3087,01","2506,51","7278,55","1213,09"
15/02/2025 14:20:00,"1539,98","3168,15","2592,41","7300,54","1216,76"
15/02/2025 14:30:00,"1611,95","2211,64","1224,56","5048,14","841,36"
15/02/2025 14:40:00,"1643,57","2263,98","1353,48","5261,03","876,84"
15/02/2025 14:50:00,"1608,49","2298,46","1498,61","5405,56","900,93"
15/02/2025 15:00:00,"1476,43","2257,57","1443,84","5177,83","862,97"
15/02/2025 15:10:00,"1587,37","2266,49","1373,96","5227,82","871,30"
15/02/2025 15:20:00,"1697,64","2249,97","1370,43","5318,04","886,34"
15/02/2025 15:30:00,"1464,39","2181,01","1204,94","4850,34","808,39"
15/02/2025 15:40:00,"1413,76","2307,08","1375,35","5096,19","849,37"
15/02/2025 15:50:00,"1572,02","2167,27","1206,69","4945,99","824,33"
15/02/2025 16:00:00,"1596,88","2285,05","1412,49","5294,42","882,40"
15/02/2025 16:10:00,"1526,03","2316,86","1510,34","5353,23","892,21"
15/02/2025 16:20:00,"1504,47","2504,05","1884,23","5892,75","982,12"
15/02/2025 16:30:00,"1526,34","2185,84","1298,41","5010,59","835,10"
15/02/2025 16:40:00,"1474,56","2127,52","1108,75","4710,83","785,14"
15/02/2025 16:50:00,"1399,68","2175,37","1144,81","4719,87","786,64"
15/02/2025 17:00:00,"1484,13","2175,37","1188,56","4848,06","808,01"
15/02/2025 17:10:00,"2114,76","2095,24","1113,20","5323,20","887,20"
15/02/2025 17:20:00,"2091,29","2163,91","1256,54","5511,74","918,62"
15/02/2025 17:30:00,"2029,36","2279,62","1496,26","5805,25","967,54"
15/02/2025 17:40:00,"2096,18","2220,32","1439,77","5756,27","959,38"
15/02/2025 17:50:00,"1963,53","2157,82","1239,80","5361,14","893,52"
15/02/2025 18:00:00,"1876,22","2244,68","1466,06","5586,96","931,16"
15/02/2025 18:10:00,"1910,92","2223,07","1381,07","5515,06","919,18"
15/02/2025 18:20:00,"1975,78","2290,74","1518,42","5784,95","964,16"
15/02/2025 18:30:00,"2000,59","2232,66","1471,95","5705,21","950,87"
15/02/2025 18:40:00,"2065,82","2371,08","1722,18","6159,08","1026,51"
15/02/2025 18:50:00,"1980,86","2307,31","1641,88","5930,05","988,34"
15/02/2025 19:00:00,"2107,40","2402,18","1801,83","6311,40","1051,90"
